Epoch,Timestamp,Open,High,Low,Close
1789616700,2026-09-17T09:15:00,74188.53,74298.69,74188.53,74298.69
1789616715,2026-09-17T09:15:15,74319.17,74376.22,74319.17,74376.22
1789616730,2026-09-17T09:15:30,74368.09,74372.8,74311.77,74311.77
1789616745,2026-09-17T09:15:45,74310.82,74310.82,74258.4,74264.3
1789616760,2026-09-17T09:16:00,74261.09,74273.97,74229.3,74229.3
1789616775,2026-09-17T09:16:15,74222.75,74230.48,74197.46,74229.97
1789616790,2026-09-17T09:16:30,74233.76,74272.45,74226.28,74262.3
1789616805,2026-09-17T09:16:45,74274.2,74302.17,74274.2,74278.57
1789616820,2026-09-17T09:17:00,74275.72,74300.33,74275.72,74300.33
1789616835,2026-09-17T09:17:15,74308.59,74342.48,74308.59,74342.48
1789616850,2026-09-17T09:17:30,74344.82,74349.87,74341.3,74346.88
1789616865,2026-09-17T09:17:45,74346.19,74376.25,74346.19,74376.25
1789616880,2026-09-17T09:18:00,74377.74,74389.96,74370.8,74385.91
1789616895,2026-09-17T09:18:15,74385.27,74395.31,74376.96,74378.29
1789616910,2026-09-17T09:18:30,74395.2,74411.28,74387.54,74402.66
1789616925,2026-09-17T09:18:45,74413.4,74415.2,74400.28,74402.53
1789616940,2026-09-17T09:19:00,74401.3,74406.27,74391.82,74394.03
1789616955,2026-09-17T09:19:15,74397.95,74401.86,74392.29,74397.39
1789616970,2026-09-17T09:19:30,74392.54,74403.74,74391.23,74396.2
1789616985,2026-09-17T09:19:45,74384.33,74400.12,74384.32,74398.61
1789617000,2026-09-17T09:20:00,74395.96,74400.58,74386.39,74387.95
1789617015,2026-09-17T09:20:15,74373.76,74417.95,74372.94,74416.33
1789617030,2026-09-17T09:20:30,74416.35,74416.35,74379.64,74385.06
1789617045,2026-09-17T09:20:45,74379.4,74396.16,74379.4,74396.16
1789617060,2026-09-17T09:21:00,74398.57,74409.86,74385.95,74406.54
1789617075,2026-09-17T09:21:15,74407.2,74407.2,74389.95,74389.95
1789617090,2026-09-17T09:21:30,74396.52,74401.18,74369.89,74369.89
1789617105,2026-09-17T09:21:45,74368.53,74382.63,74367.31,74382.63
1789617120,2026-09-17T09:22:00,74383.45,74389.16,74371.68,74375.32
1789617135,2026-09-17T09:22:15,74378.07,74378.07,74357.45,74370.85
1789617150,2026-09-17T09:22:30,74359.94,74360.54,74338.56,74338.56
1789617165,2026-09-17T09:22:45,74340.98,74343.96,74333.57,74338.49
1789617180,2026-09-17T09:23:00,74342.85,74342.85,74325.75,74325.75
1789617195,2026-09-17T09:23:15,74328.08,74337.94,74324.37,74333.75
1789617210,2026-09-17T09:23:30,74328.87,74334.37,74320.49,74333.01
1789617225,2026-09-17T09:23:45,74331.76,74333.1,74323.53,74323.53
1789617240,2026-09-17T09:24:00,74325.75,74333.68,74321.22,74325.22
1789617255,2026-09-17T09:24:15,74323.12,74330.25,74316.4,74321.25
1789617270,2026-09-17T09:24:30,74319.31,74325.01,74310.55,74310.98
1789617285,2026-09-17T09:24:45,74308.45,74308.45,74293.06,74293.06
1789617300,2026-09-17T09:25:00,74300.25,74311.34,74297.51,74304.42
1789617315,2026-09-17T09:25:15,74306.84,74323.95,74306.84,74311.42
1789617330,2026-09-17T09:25:30,74315.54,74317.82,74306.75,74316.01
1789617345,2026-09-17T09:25:45,74317.93,74317.93,74300.71,74302.02
1789617360,2026-09-17T09:26:00,74301.75,74311.3,74299.75,74311.3
1789617375,2026-09-17T09:26:15,74314.74,74314.74,74292.43,74305.74
1789617390,2026-09-17T09:26:30,74307.66,74322.66,74300.29,74322.66
1789617405,2026-09-17T09:26:45,74324.84,74326.98,74310.48,74326.98
1789617420,2026-09-17T09:27:00,74317.9,74325.15,74312.15,74318.7
1789617435,2026-09-17T09:27:15,74318.43,74318.7,74305.75,74312.09
1789617450,2026-09-17T09:27:30,74305.21,74317.92,74305.21,74315.14
1789617465,2026-09-17T09:27:45,74313.62,74343.15,74313.62,74343.15
1789617480,2026-09-17T09:28:00,74342.79,74364.65,74342.79,74360.36
1789617495,2026-09-17T09:28:15,74359.91,74366.68,74359.91,74360.61
1789617510,2026-09-17T09:28:30,74361.23,74369.16,74356.37,74360.97
1789617525,2026-09-17T09:28:45,74358.74,74385.02,74358.74,74381.6
1789617540,2026-09-17T09:29:00,74377.9,74384.33,74376.99,74377.75
1789617555,2026-09-17T09:29:15,74373.14,74375.67,74361.71,74364.88
1789617570,2026-09-17T09:29:30,74361.51,74361.51,74341.17,74341.17
1789617585,2026-09-17T09:29:45,74340.93,74352.44,74339.21,74352.44
1789617600,2026-09-17T09:30:00,74358.73,74363.87,74355.5,74360.65
1789617615,2026-09-17T09:30:15,74359.38,74368.68,74347.88,74368.68
1789617630,2026-09-17T09:30:30,74369.17,74395.48,74369.17,74395.48
1789617645,2026-09-17T09:30:45,74390.99,74405.1,74390.99,74397
1789617660,2026-09-17T09:31:00,74397.05,74405.7,74393.43,74396.93
1789617675,2026-09-17T09:31:15,74399.69,74409.86,74394.63,74405.64
1789617690,2026-09-17T09:31:30,74406.08,74407.44,74391,74391
1789617705,2026-09-17T09:31:45,74390.65,74418.34,74390.65,74418.34
1789617720,2026-09-17T09:32:00,74422.79,74429.93,74420.7,74422.85
1789617735,2026-09-17T09:32:15,74426.97,74446.95,74426.97,74445.67
1789617750,2026-09-17T09:32:30,74447.02,74466.44,74445.55,74466.44
1789617765,2026-09-17T09:32:45,74461.8,74472.38,74461.8,74469.8
1789617780,2026-09-17T09:33:00,74474.04,74480.2,74467.02,74468.94
1789617795,2026-09-17T09:33:15,74473.31,74497.45,74467.91,74497.45
1789617810,2026-09-17T09:33:30,74494.56,74501.86,74469.75,74475.5
1789617825,2026-09-17T09:33:45,74476.41,74476.41,74465.37,74465.37
1789617840,2026-09-17T09:34:00,74464.95,74472.99,74453.64,74472.99
1789617855,2026-09-17T09:34:15,74473.94,74481.41,74467.6,74480.92
1789617870,2026-09-17T09:34:30,74475.69,74488.35,74475.69,74486.58
1789617885,2026-09-17T09:34:45,74484.47,74491.15,74477.55,74483.65
1789617900,2026-09-17T09:35:00,74482.91,74508.38,74477.59,74508.38
1789617915,2026-09-17T09:35:15,74502.37,74524.58,74501.43,74524.58
1789617930,2026-09-17T09:35:30,74524.14,74524.14,74511.36,74511.36
1789617945,2026-09-17T09:35:45,74509.58,74532.99,74509.58,74532.99
1789617960,2026-09-17T09:36:00,74534.27,74536.2,74530.08,74534.2
1789617975,2026-09-17T09:36:15,74534.37,74534.37,74517.56,74522.55
1789617990,2026-09-17T09:36:30,74521.18,74524.04,74512.33,74521.75
1789618005,2026-09-17T09:36:45,74516.8,74518.75,74504.4,74504.4
1789618020,2026-09-17T09:37:00,74501.38,74504.92,74494.79,74503.65
1789618035,2026-09-17T09:37:15,74503.84,74519.87,74502.26,74519.87
1789618050,2026-09-17T09:37:30,74515.39,74515.39,74506.58,74513.19
1789618065,2026-09-17T09:37:45,74511.21,74514.65,74501.58,74501.58
1789618080,2026-09-17T09:38:00,74496.76,74511.37,74496.76,74505.16
1789618095,2026-09-17T09:38:15,74504.56,74504.56,74494.82,74498.55
1789618110,2026-09-17T09:38:30,74497.24,74499.49,74486.74,74486.74
1789618125,2026-09-17T09:38:45,74491.97,74492.08,74474.54,74474.54
1789618140,2026-09-17T09:39:00,74469.39,74469.39,74442.22,74442.22
1789618155,2026-09-17T09:39:15,74444.91,74452.39,74436.04,74450.94
1789618170,2026-09-17T09:39:30,74449.9,74455.22,74441.44,74441.44
1789618185,2026-09-17T09:39:45,74445.87,74450.7,74441.98,74441.98
1789618200,2026-09-17T09:40:00,74444.17,74448.57,74429.14,74429.14
1789618215,2026-09-17T09:40:15,74428.65,74429.42,74415.92,74426.7
1789618230,2026-09-17T09:40:30,74425.94,74429.14,74415.44,74421.33
1789618245,2026-09-17T09:40:45,74419.8,74435.54,74419.8,74434.32
1789618260,2026-09-17T09:41:00,74432.74,74440.95,74430.08,74436.93
1789618275,2026-09-17T09:41:15,74435.15,74439.28,74426.22,74426.22
1789618290,2026-09-17T09:41:30,74414.35,74424.4,74408.41,74422.44
1789618305,2026-09-17T09:41:45,74421.09,74421.09,74403.26,74407.05
1789618320,2026-09-17T09:42:00,74408.18,74408.18,74385.35,74385.35
1789618335,2026-09-17T09:42:15,74379.88,74384.72,74369.81,74374.27
1789618350,2026-09-17T09:42:30,74367.13,74370.82,74357.89,74359.01
1789618365,2026-09-17T09:42:45,74359.28,74361.56,74330.26,74330.26
1789618380,2026-09-17T09:43:00,74331.78,74331.78,74319.18,74322.8
1789618395,2026-09-17T09:43:15,74321.96,74321.96,74312.6,74320.37
1789618410,2026-09-17T09:43:30,74321.19,74342.1,74321.19,74341.14
1789618425,2026-09-17T09:43:45,74351.44,74367.85,74347.99,74366.9
1789618440,2026-09-17T09:44:00,74366.6,74372.52,74361.74,74361.74
1789618455,2026-09-17T09:44:15,74362.99,74367.75,74352.15,74356.55
1789618470,2026-09-17T09:44:30,74358.1,74358.1,74343.64,74348.27
1789618485,2026-09-17T09:44:45,74347.02,74365.62,74345.2,74365.62
1789618500,2026-09-17T09:45:00,74367.44,74391.22,74363.07,74390.3
1789618515,2026-09-17T09:45:15,74395.2,74395.65,74367.55,74368.11
1789618530,2026-09-17T09:45:30,74365.94,74367.08,74357.34,74361.04
1789618545,2026-09-17T09:45:45,74361.04,74361.49,74352.89,74356.41
1789618560,2026-09-17T09:46:00,74356.73,74360.95,74352.84,74357.76
1789618575,2026-09-17T09:46:15,74358.03,74359.4,74350.79,74357.86
1789618590,2026-09-17T09:46:30,74359.69,74366.27,74359.03,74359.8
1789618605,2026-09-17T09:46:45,74360.92,74361.13,74353.16,74357.02
1789618620,2026-09-17T09:47:00,74367.49,74370.08,74359.18,74366.88
1789618635,2026-09-17T09:47:15,74367.22,74373.75,74365.83,74368.4
1789618650,2026-09-17T09:47:30,74369.06,74381.3,74369.06,74379.21
