Epoch,Timestamp,Open,High,Low,Close
1789443900,2026-09-15T09:15:00,75376.23,75404.56,75221.25,75229.18
1789443915,2026-09-15T09:15:15,75216.75,75243.89,75184.63,75184.63
1789443930,2026-09-15T09:15:30,75183.18,75205.13,75139.24,75195.55
1789443945,2026-09-15T09:15:45,75187.85,75187.85,75137.53,75144.24
1789443960,2026-09-15T09:16:00,75146.29,75213.6,75146.29,75194.22
1789443975,2026-09-15T09:16:15,75177.43,75187.03,75157.04,75185.04
1789443990,2026-09-15T09:16:30,75185.59,75202.91,75178.83,75196.65
1789444005,2026-09-15T09:16:45,75200.31,75208.94,75194.05,75203.87
1789444020,2026-09-15T09:17:00,75195.32,75210.59,75192.23,75205.59
1789444035,2026-09-15T09:17:15,75214.14,75226.97,75205.89,75223.17
1789444050,2026-09-15T09:17:30,75216.66,75230.07,75214.04,75230.07
1789444065,2026-09-15T09:17:45,75221.83,75241.26,75173.62,75173.62
1789444080,2026-09-15T09:18:00,75167.42,75174.79,75124.39,75129.92
1789444095,2026-09-15T09:18:15,75130.81,75152.54,75130.81,75142.25
1789444110,2026-09-15T09:18:30,75163.41,75185.39,75161.24,75162.75
1789444125,2026-09-15T09:18:45,75164.49,75164.53,75135.99,75151.16
1789444140,2026-09-15T09:19:00,75148.89,75167.4,75144.82,75163.34
1789444155,2026-09-15T09:19:15,75164.85,75180.1,75164.85,75178.6
1789444170,2026-09-15T09:19:30,75184.24,75188.68,75170.25,75170.25
1789444185,2026-09-15T09:19:45,75168.45,75188.48,75168.45,75176.71
1789444200,2026-09-15T09:20:00,75163.78,75176.22,75156.49,75156.49
1789444215,2026-09-15T09:20:15,75157.98,75160.56,75136.68,75148.19
1789444230,2026-09-15T09:20:30,75148.58,75161.73,75147.37,75147.4
1789444245,2026-09-15T09:20:45,75155.84,75171.75,75143.29,75166.92
1789444260,2026-09-15T09:21:00,75166.97,75166.97,75145.25,75145.25
1789444275,2026-09-15T09:21:15,75149.13,75170.62,75149.13,75162.51
1789444290,2026-09-15T09:21:30,75167.8,75180.45,75159.44,75170.05
1789444305,2026-09-15T09:21:45,75175.15,75184.75,75169.68,75172.16
1789444320,2026-09-15T09:22:00,75171.41,75171.41,75151.77,75152.16
1789444335,2026-09-15T09:22:15,75147.49,75160.83,75137.13,75142.73
1789444350,2026-09-15T09:22:30,75147.23,75150.05,75120.51,75125.32
1789444365,2026-09-15T09:22:45,75124.41,75128.48,75110.05,75111.24
1789444380,2026-09-15T09:23:00,75110.36,75120.67,75107.41,75110.57
1789444395,2026-09-15T09:23:15,75117.88,75117.88,75106.97,75111.55
1789444410,2026-09-15T09:23:30,75103.52,75111.45,75096.74,75106.42
1789444425,2026-09-15T09:23:45,75113.11,75116.42,75102.07,75110.04
