Epoch,Timestamp,Open,High,Low,Close
1790307900,2026-09-25T09:15:00,73583.49,73583.49,73498.76,73582.41
1790307915,2026-09-25T09:15:15,73565.17,73648.24,73558.46,73644.41
1790307930,2026-09-25T09:15:30,73643.71,73686.24,73643.71,73676.66
1790307945,2026-09-25T09:15:45,73668.71,73715.1,73668.71,73698.32
1790307960,2026-09-25T09:16:00,73705.49,73726.62,73682.86,73726.62
1790307975,2026-09-25T09:16:15,73734.62,73736.36,73715.32,73735.89
1790307990,2026-09-25T09:16:30,73724.6,73730.43,73706.46,73710.9
1790308005,2026-09-25T09:16:45,73714.27,73714.27,73693.95,73698.33
1790308020,2026-09-25T09:17:00,73700.02,73700.02,73688.08,73697.44
1790308035,2026-09-25T09:17:15,73694.09,73711.45,73687.5,73687.5
1790308050,2026-09-25T09:17:30,73693.79,73718.29,73693.79,73717.12
1790308065,2026-09-25T09:17:45,73709.18,73714.41,73699.51,73712.49
1790308080,2026-09-25T09:18:00,73708.79,73728.95,73708.79,73719.5
1790308095,2026-09-25T09:18:15,73716.7,73731.76,73716.7,73719.15
1790308110,2026-09-25T09:18:30,73720.09,73720.09,73695.98,73696.24
1790308125,2026-09-25T09:18:45,73695.75,73700.41,73689.86,73700.41
1790308140,2026-09-25T09:19:00,73696.65,73702.9,73691.29,73700.37
1790308155,2026-09-25T09:19:15,73700.72,73700.72,73680.87,73680.87
1790308170,2026-09-25T09:19:30,73687.54,73687.54,73671.44,73673.54
1790308185,2026-09-25T09:19:45,73674.74,73677.68,73651.54,73651.54
1790308200,2026-09-25T09:20:00,73659.59,73659.59,73633.47,73633.47
1790308215,2026-09-25T09:20:15,73636.84,73637.91,73630.97,73636.52
1790308230,2026-09-25T09:20:30,73634.51,73635.32,73621.17,73630.23
1790308245,2026-09-25T09:20:45,73634.46,73651.89,73634.46,73648.28
1790308260,2026-09-25T09:21:00,73654.12,73654.12,73627.94,73629.4
1790308275,2026-09-25T09:21:15,73634.54,73652.07,73634.54,73652.07
1790308290,2026-09-25T09:21:30,73654.4,73667.36,73654.4,73662.32
1790308305,2026-09-25T09:21:45,73663.01,73669.02,73652.86,73669.02
1790308320,2026-09-25T09:22:00,73671.19,73678.76,73667.11,73674.15
1790308335,2026-09-25T09:22:15,73678.02,73679.64,73664.08,73664.08
