Epoch,Timestamp,Open,High,Low,Close
1790221500,2026-09-24T09:15:00,74164.52,74360.29,74164.52,74313.88
1790221515,2026-09-24T09:15:15,74301.71,74305.83,74247,74270.25
1790221530,2026-09-24T09:15:30,74279.51,74293.12,74247.84,74251.05
1790221545,2026-09-24T09:15:45,74238.39,74329.73,74238.39,74329.73
1790221560,2026-09-24T09:16:00,74317.65,74317.65,74242.04,74254.39
1790221575,2026-09-24T09:16:15,74261.38,74265.43,74238.37,74244.03
1790221590,2026-09-24T09:16:30,74243.1,74243.1,74228.65,74235.42
1790221605,2026-09-24T09:16:45,74226.6,74240.87,74210.93,74215.05
1790221620,2026-09-24T09:17:00,74216.93,74232.62,74208.49,74226.39
1790221635,2026-09-24T09:17:15,74229.27,74240.95,74216.17,74240.95
1790221650,2026-09-24T09:17:30,74245.78,74245.78,74215.44,74215.44
1790221665,2026-09-24T09:17:45,74214.53,74230.34,74212.12,74212.12
1790221680,2026-09-24T09:18:00,74200.87,74205.28,74191.09,74197.35
1790221695,2026-09-24T09:18:15,74198.14,74208.99,74198.14,74206.54
1790221710,2026-09-24T09:18:30,74208.23,74218.54,74208.23,74212.94
1790221725,2026-09-24T09:18:45,74216.13,74236.43,74216.13,74230.15
1790221740,2026-09-24T09:19:00,74226.22,74245.13,74223.06,74235.5
1790221755,2026-09-24T09:19:15,74235.69,74241.1,74215.98,74215.98
1790221770,2026-09-24T09:19:30,74209.09,74209.09,74188.47,74195.57
1790221785,2026-09-24T09:19:45,74198.85,74202.73,74189.75,74195.12
1790221800,2026-09-24T09:20:00,74189.55,74189.55,74179.92,74185.93
1790221815,2026-09-24T09:20:15,74201.36,74201.36,74181.08,74185.35
1790221830,2026-09-24T09:20:30,74182.47,74194.13,74181.99,74193.85
1790221845,2026-09-24T09:20:45,74192.09,74205,74180.96,74198.11
1790221860,2026-09-24T09:21:00,74201.83,74207.29,74183.37,74193.01
1790221875,2026-09-24T09:21:15,74193.44,74211.12,74192.38,74209.06
1790221890,2026-09-24T09:21:30,74207.95,74216.86,74202.91,74216.86
1790221905,2026-09-24T09:21:45,74216.74,74231.95,74209.37,74230.81
1790221920,2026-09-24T09:22:00,74229.89,74234.94,74225.13,74231
1790221935,2026-09-24T09:22:15,74234.92,74243.22,74231.14,74243.22
1790221950,2026-09-24T09:22:30,74238.44,74254.48,74238.44,74254.48
1790221965,2026-09-24T09:22:45,74255.97,74273.13,74250.58,74266.08
1790221980,2026-09-24T09:23:00,74263.25,74265.61,74251.63,74256.33
