Epoch,Timestamp,Open,High,Low,Close,Volume
1790307900,2026-09-25T09:15:00,73525.92,73719.36,73477.77,73698.32,160946
1790307960,2026-09-25T09:16:00,73705.49,73738.53,73682.86,73698.33,145296
1790308020,2026-09-25T09:17:00,73700.02,73718.29,73687.5,73712.49,105947
1790308080,2026-09-25T09:18:00,73708.79,73731.76,73689.86,73700.41,71898
1790308140,2026-09-25T09:19:00,73696.65,73702.9,73651.54,73651.54,92015
1790308200,2026-09-25T09:20:00,73659.59,73659.59,73621.17,73648.28,55390
1790308260,2026-09-25T09:21:00,73654.12,73669.02,73627.94,73669.02,47419
1790308320,2026-09-25T09:22:00,73671.19,73689.89,73664.08,73688.94,42524
1790308380,2026-09-25T09:23:00,73693.68,73714.57,73682.4,73683.9,39068
1790308440,2026-09-25T09:24:00,73679.57,73684.62,73661.63,73675,33660
1790308500,2026-09-25T09:25:00,73675.41,73678.61,73654.98,73662.8,36667
1790308560,2026-09-25T09:26:00,73661.81,73677.01,73650.73,73672.4,30869
1790308620,2026-09-25T09:27:00,73672.48,73707.27,73672.48,73703.7,23943
1790308680,2026-09-25T09:28:00,73706.66,73726.62,73705.07,73726.62,47833
1790308740,2026-09-25T09:29:00,73724.11,73774.39,73724.11,73774.39,53377
1790308800,2026-09-25T09:30:00,73782.32,73795.57,73767.95,73780.23,64524
1790308860,2026-09-25T09:31:00,73783.13,73800.94,73755.98,73768.62,38320
1790308920,2026-09-25T09:32:00,73763.84,73793.51,73759.15,73772.38,26428
1790308980,2026-09-25T09:33:00,73779.54,73779.86,73746.22,73754.21,37043
1790309040,2026-09-25T09:34:00,73753.96,73778.87,73753.43,73770.79,77419
1790309100,2026-09-25T09:35:00,73768.78,73771.24,73752.91,73753.35,19555
1790309160,2026-09-25T09:36:00,73752.75,73752.75,73705.41,73705.41,21362
1790309220,2026-09-25T09:37:00,73704.26,73708.15,73665.84,73667.08,54130
1790309280,2026-09-25T09:38:00,73665.25,73683.49,73658.26,73675.13,18355
1790309340,2026-09-25T09:39:00,73674.82,73675.27,73656.19,73661.15,33566
1790309400,2026-09-25T09:40:00,73659.99,73659.99,73624.68,73635.9,121964
1790309460,2026-09-25T09:41:00,73634.82,73636.79,73611.06,73629.8,45601
1790309520,2026-09-25T09:42:00,73629.48,73629.48,73608.68,73608.93,38539
1790309580,2026-09-25T09:43:00,73600.94,73605.74,73561.53,73570.92,21982
1790309640,2026-09-25T09:44:00,73564.74,73593.72,73564.74,73582.7,21460
1790309700,2026-09-25T09:45:00,73588.31,73602.72,73581.81,73592.25,26312
1790309760,2026-09-25T09:46:00,73590.5,73598.24,73584.47,73587.23,18475
1790309820,2026-09-25T09:47:00,73587.23,73612.65,73582.02,73612.65,20579
1790309880,2026-09-25T09:48:00,73610.43,73612.95,73579.67,73579.67,46859
1790309940,2026-09-25T09:49:00,73579.84,73593.77,73574.63,73574.63,15307
1790310000,2026-09-25T09:50:00,73574.84,73599.6,73572.76,73585.07,16504
1790310060,2026-09-25T09:51:00,73583.52,73583.52,73564.13,73581.53,34560
1790310120,2026-09-25T09:52:00,73580.07,73585.98,73537.61,73539.43,39360
1790310180,2026-09-25T09:53:00,73539.32,73545.66,73535.77,73541.67,29326
1790310240,2026-09-25T09:54:00,73540.74,73569.88,73539.66,73569.48,28539
1790310300,2026-09-25T09:55:00,73569.89,73574.76,73557.1,73574.76,17782
1790310360,2026-09-25T09:56:00,73570.59,73588.44,73563.94,73584.75,35757
1790310420,2026-09-25T09:57:00,73581.23,73604.75,73572.61,73601.99,30148
1790310480,2026-09-25T09:58:00,73600.4,73601.48,73571.56,73583.25,16919
1790310540,2026-09-25T09:59:00,73583.6,73602.28,73583.6,73598.74,20468
1790310600,2026-09-25T10:00:00,73599.98,73601.17,73586.93,73592.75,17740
1790310660,2026-09-25T10:01:00,73592.45,73594.92,73580.42,73589.72,16741
1790310720,2026-09-25T10:02:00,73589.57,73608.65,73587.89,73603.48,14653
1790310780,2026-09-25T10:03:00,73607.54,73642.49,73602.22,73626.91,27649
1790310840,2026-09-25T10:04:00,73626.33,73672,73626.33,73666.28,22315
1790310900,2026-09-25T10:05:00,73667.24,73676.04,73657.98,73661.17,18621
1790310960,2026-09-25T10:06:00,73657.99,73672.23,73656.46,73670.91,16642
1790311020,2026-09-25T10:07:00,73670.31,73692.24,73667.48,73690.07,20792
1790311080,2026-09-25T10:08:00,73690.55,73730.06,73677.64,73730.06,24558
1790311140,2026-09-25T10:09:00,73728.65,73734.24,73715.73,73734.24,19490
1790311200,2026-09-25T10:10:00,73735.27,73752.37,73730.67,73731.47,16448
1790311260,2026-09-25T10:11:00,73733.46,73737.64,73722.43,73725.43,43102
1790311320,2026-09-25T10:12:00,73724.62,73746.56,73712.14,73745.5,12027
1790311380,2026-09-25T10:13:00,73747.13,73763.57,73746.13,73748.08,22820
1790311440,2026-09-25T10:14:00,73748.16,73753.66,73739.8,73740.1,13133
1790311500,2026-09-25T10:15:00,73741.2,73754.52,73738.26,73750.51,13071
1790311560,2026-09-25T10:16:00,73750.51,73756.69,73739.8,73747.9,13275
1790311620,2026-09-25T10:17:00,73742.86,73748.34,73733.66,73745.4,14068
1790311680,2026-09-25T10:18:00,73745.4,73748.47,73715.18,73719.8,14101
1790311740,2026-09-25T10:19:00,73717.91,73725.09,73711.74,73719.87,11889
1790311800,2026-09-25T10:20:00,73723.53,73730.75,73715.27,73727.13,15424
1790311860,2026-09-25T10:21:00,73726.63,73754.04,73726.31,73748.71,13866
1790311920,2026-09-25T10:22:00,73748.93,73748.93,73726.15,73726.15,6992
1790311980,2026-09-25T10:23:00,73723.54,73726.45,73709.91,73714.01,8527
1790312040,2026-09-25T10:24:00,73714.82,73722.79,73697.27,73697.27,10074
1790312100,2026-09-25T10:25:00,73700.11,73721.68,73695.05,73717.86,8892
1790312160,2026-09-25T10:26:00,73724.55,73727.27,73710.07,73710.73,17090
1790312220,2026-09-25T10:27:00,73709.47,73715.84,73697.8,73706.24,18022
1790312280,2026-09-25T10:28:00,73701.82,73709.26,73672.15,73679.03,9540
1790312340,2026-09-25T10:29:00,73679.34,73691.25,73672.48,73683.93,13438
1790312400,2026-09-25T10:30:00,73685.49,73695.05,73684.01,73695.05,6625
1790312460,2026-09-25T10:31:00,73697.5,73701.73,73691,73694.49,10030
1790312520,2026-09-25T10:32:00,73692.86,73692.86,73660.04,73671.64,17384
1790312580,2026-09-25T10:33:00,73674.43,73680.97,73651.55,73655.48,40865
1790312640,2026-09-25T10:34:00,73656.6,73659.7,73633.37,73633.37,14318
1790312700,2026-09-25T10:35:00,73632.6,73632.6,73616.02,73622,13678
1790312760,2026-09-25T10:36:00,73621.76,73631.59,73615.63,73626.65,7661
1790312820,2026-09-25T10:37:00,73626.5,73644.23,73626.5,73643.35,17203
1790312880,2026-09-25T10:38:00,73643.44,73651.78,73639.85,73650.87,13982
1790312940,2026-09-25T10:39:00,73649.27,73663.9,73649.27,73651.65,23488
1790313000,2026-09-25T10:40:00,73650.25,73659.22,73646.01,73650.85,9202
1790313060,2026-09-25T10:41:00,73649.15,73650.55,73636.96,73639.02,8290
1790313120,2026-09-25T10:42:00,73640.02,73664.98,73640.02,73661.11,22869
1790313180,2026-09-25T10:43:00,73660.47,73660.47,73640.41,73651.97,7769
1790313240,2026-09-25T10:44:00,73653.39,73659.28,73646.61,73649.42,36180
