Epoch,Timestamp,Open,High,Low,Close,Volume
1789443900,2026-09-15T09:15:00,75369.63,75436.44,75126.59,75144.24,476865
1789443960,2026-09-15T09:16:00,75146.29,75213.6,75146.29,75203.87,428614
1789444020,2026-09-15T09:17:00,75195.32,75241.26,75173.62,75173.62,312773
1789444080,2026-09-15T09:18:00,75167.42,75185.39,75120.68,75151.16,225478
1789444140,2026-09-15T09:19:00,75148.89,75188.68,75144.82,75176.71,293408
1789444200,2026-09-15T09:20:00,75163.78,75176.22,75136.68,75166.92,192247
1789444260,2026-09-15T09:21:00,75166.97,75184.75,75145.25,75172.16,102993
1789444320,2026-09-15T09:22:00,75171.41,75171.41,75109.09,75111.24,101786
1789444380,2026-09-15T09:23:00,75110.36,75120.67,75095.26,75110.04,104698
1789444440,2026-09-15T09:24:00,75113.1,75131.16,75073.25,75075.21,107232
1789444500,2026-09-15T09:25:00,75060.73,75060.88,75040.57,75046.47,104279
1789444560,2026-09-15T09:26:00,75049.97,75056.03,75012.59,75028.9,135480
1789444620,2026-09-15T09:27:00,75025.73,75044.57,75019.42,75030.12,91240
1789444680,2026-09-15T09:28:00,75024.66,75033.16,75007.96,75008.25,98122
1789444740,2026-09-15T09:29:00,75014.89,75025.64,75002.92,75021.63,148417
1789444800,2026-09-15T09:30:00,75027.7,75034.25,75014.98,75024.27,82048
1789444860,2026-09-15T09:31:00,75021.99,75035.14,74991.69,74991.69,91314
1789444920,2026-09-15T09:32:00,74993.57,75009.03,74970.89,75003.64,76156
1789444980,2026-09-15T09:33:00,75006.38,75009.69,74981.25,75009.69,70372
1789445040,2026-09-15T09:34:00,75013,75025.16,75004.88,75011.8,55707
1789445100,2026-09-15T09:35:00,75011.24,75038.02,75007.88,75015.57,68509
1789445160,2026-09-15T09:36:00,75007.85,75008.27,74969.07,74979,100855
1789445220,2026-09-15T09:37:00,74975.25,74992.91,74968.13,74972.98,74639
1789445280,2026-09-15T09:38:00,74970.48,74988.8,74962.45,74969.68,62630
1789445340,2026-09-15T09:39:00,74969.89,75016.53,74969.29,75016.53,50328
1789445400,2026-09-15T09:40:00,75017.95,75024.1,75005.81,75016.96,44290
1789445460,2026-09-15T09:41:00,75015.1,75015.95,74998.23,75015.07,42584
1789445520,2026-09-15T09:42:00,75015.13,75025.32,75005.65,75012.03,64683
1789445580,2026-09-15T09:43:00,75015.23,75050.84,75013.22,75044.63,48976
1789445640,2026-09-15T09:44:00,75041.62,75052.41,75004.32,75004.32,50035
1789445700,2026-09-15T09:45:00,75001.78,75001.78,74955.44,74972.98,42694
1789445760,2026-09-15T09:46:00,74975.43,74987.35,74967.41,74973.67,38874
1789445820,2026-09-15T09:47:00,74972.87,74983.74,74945.35,74946.85,46574
1789445880,2026-09-15T09:48:00,74947.75,74959.29,74923.65,74941.81,56057
1789445940,2026-09-15T09:49:00,74934.82,74935.18,74889.09,74895.22,42235
1789446000,2026-09-15T09:50:00,74897.78,74921.61,74885.17,74915.77,44695
1789446060,2026-09-15T09:51:00,74919.91,74920.03,74904.33,74904.58,79242
1789446120,2026-09-15T09:52:00,74912.24,74915.34,74870.94,74872.83,52346
1789446180,2026-09-15T09:53:00,74875,74888.92,74869.46,74881.06,722486
1789446240,2026-09-15T09:54:00,74880.99,74893.49,74851.85,74851.86,122732
1789446300,2026-09-15T09:55:00,74851.59,74851.59,74795.99,74807.88,78755
1789446360,2026-09-15T09:56:00,74806.52,74815.13,74782.54,74785.25,58432
1789446420,2026-09-15T09:57:00,74782.11,74786.16,74765.45,74769.68,53222
1789446480,2026-09-15T09:58:00,74772.37,74776.46,74754.16,74775.44,35608
1789446540,2026-09-15T09:59:00,74780.64,74821.92,74780.09,74818.82,92402
1789446600,2026-09-15T10:00:00,74823.14,74823.14,74778.88,74788.24,31841
1789446660,2026-09-15T10:01:00,74790.94,74793.16,74774.58,74777.33,30042
1789446720,2026-09-15T10:02:00,74782.3,74816.31,74780.61,74810.15,29858
1789446780,2026-09-15T10:03:00,74813.14,74816.14,74776.53,74779.32,38352
1789446840,2026-09-15T10:04:00,74778.48,74785.49,74765.51,74785.15,21459
1789446900,2026-09-15T10:05:00,74789.51,74807.69,74781.14,74803.78,93837
1789446960,2026-09-15T10:06:00,74805.08,74809.43,74778.39,74790.74,31345
1789447020,2026-09-15T10:07:00,74786.49,74795.71,74778.81,74792.77,26490
1789447080,2026-09-15T10:08:00,74794.59,74808.6,74776.71,74783.85,34508
1789447140,2026-09-15T10:09:00,74782.04,74782.04,74756.97,74758.88,60398
1789447200,2026-09-15T10:10:00,74759.45,74760.51,74738.16,74747.62,22208
1789447260,2026-09-15T10:11:00,74746.07,74812.04,74743.66,74812.04,57938
1789447320,2026-09-15T10:12:00,74808.17,74814.38,74789.87,74811.08,32922
1789447380,2026-09-15T10:13:00,74807.6,74822.79,74807.23,74811.79,23721
1789447440,2026-09-15T10:14:00,74817.39,74817.39,74793.63,74793.63,29100
1789447500,2026-09-15T10:15:00,74790.63,74796.69,74763.6,74764.02,26237
1789447560,2026-09-15T10:16:00,74765.71,74787.1,74765.71,74772.31,20564
1789447620,2026-09-15T10:17:00,74768.45,74778.68,74752.14,74776.43,37915
1789447680,2026-09-15T10:18:00,74775.98,74813.54,74775.98,74813.53,23713
1789447740,2026-09-15T10:19:00,74810.49,74810.61,74790.26,74809.04,19258
1789447800,2026-09-15T10:20:00,74803.33,74803.33,74756.61,74761.74,35381
1789447860,2026-09-15T10:21:00,74759.11,74759.11,74734.73,74756.44,51245
1789447920,2026-09-15T10:22:00,74756.68,74780.92,74752.47,74774.19,29760
1789447980,2026-09-15T10:23:00,74775.8,74775.8,74747.41,74771.15,24089
1789448040,2026-09-15T10:24:00,74770.91,74779.19,74766.96,74771.82,53679
1789448100,2026-09-15T10:25:00,74770.77,74773.74,74752.37,74752.91,23927
1789448160,2026-09-15T10:26:00,74757.14,74781.3,74752.39,74776.45,21479
1789448220,2026-09-15T10:27:00,74778.21,74782.97,74768.41,74769.48,17192
1789448280,2026-09-15T10:28:00,74763.27,74763.27,74729.55,74732.1,30894
1789448340,2026-09-15T10:29:00,74735.14,74736.09,74714.12,74717.51,23935
1789448400,2026-09-15T10:30:00,74715.98,74718.21,74690.15,74715.25,29563
1789448460,2026-09-15T10:31:00,74718.72,74742.6,74715.44,74715.7,15037
1789448520,2026-09-15T10:32:00,74716.9,74716.9,74701.42,74714.43,17357
1789448580,2026-09-15T10:33:00,74712.85,74729.29,74708.19,74723.55,12517
1789448640,2026-09-15T10:34:00,74724.43,74727.68,74715.41,74718.05,37807
1789448700,2026-09-15T10:35:00,74720.81,74738.54,74718.2,74733.9,14580
1789448760,2026-09-15T10:36:00,74733.92,74756.24,74732.01,74756.24,14050
1789448820,2026-09-15T10:37:00,74755.65,74758.23,74744.99,74755.82,22620
